customerID,MonthlyCharges,TotalCharges,genero_bi,es_adultoMayor,pareja_bi,dependiente_bi,tiempo_servicio_bi,Multiple_lineas_bi,InternetService_bi,Servicio_Telefonico_bi,proteccion_equipo_bi,Respaldo_info_bi,Soporte_tecnico_bi,Streaming_bi,streaming_peliculas_bi,contrato_bi,Faturacion_electronica_bi,FormaPago_bi,Churn_bi
7590-VHVEG,29.85,29.85,Femenino,No,Si,No,1-6,Sin Servicio Telefonico,DSL,No,No,Si,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
5575-GNVDE,56.95,1889.5,Masculino,No,No,No,25-36,No,DSL,Si,Si,No,No,No,No,Dos Años,No,Cheque por Correo,Clientes Retenidos
3668-QPYBK,53.85,108.15,Masculino,No,No,No,1-6,No,DSL,Si,No,Si,No,No,No,Mes a Mes,Si,Cheque por Correo,Clientes No Retenidos
7795-CFOCW,42.3,1840.75,Masculino,No,No,No,37-48,Sin Servicio Telefonico,DSL,No,Si,No,Si,No,No,Dos Años,No,Transferencia Bancaria,Clientes Retenidos
9237-HQITU,70.7,151.65,Femenino,No,No,No,1-6,No,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
9305-CDSKC,99.65,820.5,Femenino,No,No,No,7-12,Si,Fibra Optica,Si,Si,No,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
1452-KIOVK,89.1,1949.4,Masculino,No,No,Si,13-24,Si,Fibra Optica,Si,No,Si,No,Si,No,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
6713-OKOMC,29.75,301.9,Femenino,No,No,No,7-12,Sin Servicio Telefonico,DSL,No,No,No,No,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
7892-POOKP,104.8,3046.05,Femenino,No,Si,No,25-36,Si,Fibra Optica,Si,Si,No,Si,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
6388-TABGU,56.15,3487.95,Masculino,No,No,Si,> 60,No,DSL,Si,No,Si,No,No,No,Dos Años,No,Transferencia Bancaria,Clientes Retenidos
9763-GRSKD,49.95,587.45,Masculino,No,Si,Si,13-24,No,DSL,Si,No,No,No,No,No,Mes a Mes,Si,Cheque por Correo,Clientes Retenidos
7469-LKBCI,18.95,326.8,Masculino,No,No,No,13-24,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Tarjeta de Credito,Clientes Retenidos
8091-TTVAX,100.35,5681.1,Masculino,No,Si,No,49-60,Si,Fibra Optica,Si,Si,No,No,Si,Si,Dos Años,No,Tarjeta de Credito,Clientes Retenidos
0280-XJGEX,103.7,5036.3,Masculino,No,No,No,49-60,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Mes a Mes,Si,Transferencia Bancaria,Clientes No Retenidos
5129-JLPIS,105.5,2686.05,Masculino,No,No,No,25-36,No,Fibra Optica,Si,Si,No,Si,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
3655-SNQYZ,113.25,7895.15,Femenino,No,Si,Si,> 60,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Un Año,No,Tarjeta de Credito,Clientes Retenidos
8191-XWSZG,20.65,1022.95,Femenino,No,No,No,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Dos Años,No,Cheque por Correo,Clientes Retenidos
9959-WOFKT,106.7,7382.25,Masculino,No,No,Si,> 60,Si,Fibra Optica,Si,Si,No,No,Si,Si,Un Año,No,Transferencia Bancaria,Clientes Retenidos
4190-MFLUW,55.2,528.35,Femenino,No,Si,Si,7-12,No,DSL,Si,Si,No,Si,No,No,Mes a Mes,No,Tarjeta de Credito,Clientes No Retenidos
4183-MYFRB,90.05,1862.9,Femenino,No,No,No,13-24,No,Fibra Optica,Si,Si,Si,No,No,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
8779-QRDMV,39.65,39.65,Masculino,Si,No,No,1-6,Sin Servicio Telefonico,DSL,No,Si,No,No,No,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
1680-VDCWW,19.8,202.25,Masculino,No,Si,No,7-12,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Dos Años,No,Transferencia Bancaria,Clientes Retenidos
1066-JKSGK,20.15,20.15,Masculino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes No Retenidos
3638-WEABW,59.9,3505.1,Femenino,No,Si,No,49-60,Si,DSL,Si,No,Si,Si,No,No,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
6322-HRPFA,59.6,2970.3,Masculino,No,Si,Si,49-60,No,DSL,Si,No,Si,Si,No,No,Mes a Mes,No,Tarjeta de Credito,Clientes Retenidos
6865-JZNKO,55.3,1530.6,Femenino,No,No,No,25-36,No,DSL,Si,No,Si,No,No,No,Mes a Mes,Si,Transferencia Bancaria,Clientes Retenidos
6467-CHFZW,99.35,4749.15,Masculino,No,Si,Si,37-48,Si,Fibra Optica,Si,No,Si,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
8665-UTDHZ,30.2,30.2,Masculino,No,Si,Si,1-6,Sin Servicio Telefonico,DSL,No,No,Si,No,No,No,Mes a Mes,No,Cheque Electronico,Clientes No Retenidos
5248-YGIJN,90.25,6369.45,Masculino,No,Si,No,> 60,Si,DSL,Si,Si,Si,Si,Si,Si,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
8773-HHUOZ,64.7,1093.1,Femenino,No,No,Si,13-24,No,DSL,Si,No,No,No,Si,Si,Mes a Mes,Si,Cheque por Correo,Clientes No Retenidos
3841-NFECX,96.35,6766.95,Femenino,Si,Si,No,> 60,Si,Fibra Optica,Si,Si,Si,Si,No,No,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
4929-XIHVW,95.5,181.65,Masculino,Si,Si,No,1-6,No,Fibra Optica,Si,Si,No,No,Si,Si,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
